USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
FA,D2016673ALC24,,3,"CEDENO, LEANDRO",R,08/22/98,MR5,,,,,,,,,,660681,,,,,0.00,3,0.00,,,,,,,
FA,D2021246BAB09,,5,"CEDENO, NERWILIAN",B,03/16/02,M5,,,,,,,,,,683481,,,,,0.00,5,0.00,,,,,,,
FA,D2023568CS320,,4,"CEDENO, OLIVER",,09/10/04,M3,,,,,,,,,,800132,,,,,0.00,4,0.00,,,,,,,
FA,D2016582BOB20,,8,"CEDROLA, LORENZO",R,01/12/98,UFA,," $740,000 ",,,,,,,,661411,,,,,0.00,8,0.00,,,,,,,
RFS,D2025010RFS01,,6,"CELESTEN, FELNIN",B/R,09/15/05,M2,,,,,,,,SEA 07 [83],38.52,806958,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2017069JAS03,,8,"CELESTINO, GILBERTO",R,02/13/99,UFA,," $740,000 ",,,,,,,,665482,,,,,0.00,8,0.00,,,,,,,
MER,D2020497MER17,,1,"CELLUCCI, BRENDAN",,06/30/98,MR5,,,,,,,,,,676454,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2015353JAS12,,0,"CENTENO, HENRY",,08/24/94,M5,,,,,,,,,,605636,,,,,0.00,0,0.00,,,,,,,
MUN,D2024304SAG11,,6,"CEPEDA, ANGEL",R,10/29/05,M3,,,,,,,,CHN 16,16.29,806980,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
MER,D2024796MER30,,8,"CEPEDA, GEISEL",R,01/17/98,M3,,,,,,,,,,808206,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2021131BGK05,,0,"CEPEDA, LUIS",,10/12/00,M3,,,,,,,,,,678775,,,,,0.00,0,0.00,,,,,,,
WBR,D2022487WBR17,,6,"CEPERO, RYAN",R,02/11/03,M5,,,,,,,,,,695510,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SH1,D2019399BAB14,,1,"CERANTOLA, ERIC",R,05/02/00,MR5,,,,,,,,KCA 28,2.66,672021,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BRM,D2021039BRM02,RELEASE,8,"CERDA, ALLAN",R,11/24/99,MR5,,,,,,,,,,678323,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
RFS,D2024213RFS08,,2,"CERDA, CHRISTIAN",R,12/27/02,M3,,,,,,,,,,692416,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
SL1,D2024338SL112,,2,"CERKOWNYK, BRADY",R,02/02/03,M3,,,,,,,,,,814499,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
HIB,D2023120HIB04,,8,"CERMAK, RYAN",R,06/02/01,M4,,,,,,,,,,688714,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
PEC,D2022370PEC13,,8,"CERNY, LOGAN",R,09/28/99,M5,,,,,,,,,,681488,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
INC,D2025349INC12,,8,"CESARINI, RYAN",L/R,12/16/02,M2,,,,,,,,,,825761,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2018559ALC19,,8,"CESPEDES, CRISTOPHER ",R,05/18/98,MR5,,,,,,,,,,660642,,,,,0.00,8,0.00,,,,,,,
NYG,D2025428NYG15,,5,"CESPEDES, RUBEL",L/R,08/29/00,M2,,,,,,,,,,686438,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
NEE,D2024050NEE02,,6,"CESPEDES, YOEILIN",R,09/08/05,M3,,,,,,,,BOA 06,30.00,806985,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
PEC,D2022010PEC01,,8,"CÉSPEDES, YOELQUI",R,09/24/97,M5,,,,,,,,,,673461,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2013508BOB16,,0,"CESSA, LUIS",R,04/25/92,UFA,," $740,000 ",,,,,,,,570666,,,,,0.00,0,0.00,,,,,,,
KC1,D2022549KC119,,0,"CHACE, MOISÉS",R,06/09/03,M5,,,,,,,,PHN 05,25.63,691330,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2019543SPI19,,8,"CHACON, ESNEY",,03/17/00,MR5,,,,,,,,,,672623,,,,,0.00,8,0.00,,,,,,,
FA,D2022375BAB13,,8,"CHACON, JUAN",R,12/04/02,M4,,,,,,,,,,691370,,,,,0.00,8,0.00,,,,,,,
FA,D2012037NEE1S,,1,"CHAFIN, ANDREW",L,06/17/90,UFA,," $740,000 ",0.40,0.40,0,35,,,,605177,,,,,0.00,1,0.40,,,,,,,
MER,D2025204MER07,,1,"CHALAS, YORDIN",R/R,02/22/04,M2,,,,,,,,ARN 21,10.00,808054,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BRM,D2021123BRM05,,0,"CHAMBERLAIN, CHRISTIAN",,07/20/99,MR5,,,,,,,,,,685125,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2024723BAB25,,0,"CHAMBERS, JUSTIN",L,08/14/05,M2,,,,,,,,,,807724,,,,,0.00,0,0.00,,,,,,,
CHH,D2019128JAS05,40,1,"CHAMPLAIN, CHANDLER",R,07/23/99,MR5,," $120,600 ",,,,,,KCA 18,11.51,669441,KEEP,40," $120,600 ",,0.00,1,0.00,,,,,,,
TUT,D2022055SIM02,,0,"CHANDLER, BUBBA",B,09/14/02,O,," $740,000 ",,0.90,4,33,,PIN 01 [09],48.88,696149,KEEP,," $740,000 ",,0.00,0,0.90,,,,,,,
FA,D2015063BRM02,,6,"CHANG, YU-CHENG",R,08/18/95,UFA,," $740,000 ",,,,,,,,644374,,,,,0.00,6,0.00,,,,,,,
HIB,D2016624ALE21,40,10,"CHAPARRO, ANDRES ",R,05/04/99,O1,," $740,000 ",0.10,-0.40,,,69,,,665953,KEEP,40," $740,000 ",,72.00,10,-0.40,,,,,,,
ALC,D2023174ALC06,RELEASE,8,"CHAPELLI, LOIDEL",,12/20/01,M4,,,,,,,,,,703070,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
FA,FA2011ALC,,1,"CHAPMAN, AROLDIS",L,02/28/88,UFA,2016," $740,000 ",1.10,2.60,0,64,,,,547973,,,,,0.00,1,2.60,,,,,,,
KEC,D2015040GLLCA,40,5,"CHAPMAN, MATT",,04/28/93,FA26,," $15,224,721 ",5.40,3.70,,,477,,,656305,KEEP,40," $15,224,721 ",,501.00,5,3.70,,,,,,,
FA,D2013144SGP04,,1,"CHARGOIS, J.T.",R,12/03/90,UFA,," $740,000 ",-0.20,,,,,,,608638,,,,,0.00,1,0.00,,,,,,,
BGK,D2023110BGK04,,6,"CHARLES, AUSTIN",R,11/13/03,M4,,,,,,,,KCA 19,10.63,800051,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2020296HOG10,,1,"CHARLES, JOSEPH",R,04/05/00,MR5,,,,,,,,,,683087,,,,,0.00,1,0.00,,,,,,,
FA,D2018342RFS12,,1,"CHARLES, WANDISSON ",R,09/07/96,MR5,,,,,,,,,,664301,,,,,0.00,1,0.00,,,,,,,
FA,D2017066MER03,,6,"CHATHAM, C.J.",R,12/22/94,MR5,,,,,,,,,,641453,,,,,0.00,6,0.00,,,,,,,
OSC,D2024755OSC27,,6,"CHAURAN, KLEIVER",B,11/23/05,M3,,,,,,,,,,808264,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
HIB,D2022450HIB15,,8,"CHAVERS, PARKER",L,07/25/98,M5,,,,,,,,,,685091,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2019347BGK12,,4,"CHAVEZ, FRAINYER",,05/24/99,MR5,,,,,,,,,,669413,,,,,0.00,4,0.00,,,,,,,
FA,FA2006MON,,1,"CHAVEZ, JESSE",R,08/21/83,UFA,," $740,000 ",-0.20,-0.30,0,8,,,,445926,,,,,0.00,1,-0.30,,,,,,,
FA,D2015763HOG39,,2,"CHAVEZ, JOSE",,08/05/95,MR5,,,,,,,,,,622700,,,,,0.00,2,0.00,,,,,,,
INC,D2015036LVPCA,,4,"CHAVIS, MICHAEL",R,08/11/95,A4,," $740,000 ",,,,,,,,656308,KEEP,," $740,000 ",,0.00,4,0.00,,,,,,,
CHH,D2022432JAS15,,0,"CHEN, PO-YU",R,10/02/01,M5,,,,,,,,,,696040,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
PEC,D2024547PEC19,,0,"CHENAULT, ETHAN",R,03/28/01,M3,,,,,,,,,,694839,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
KC1,D2023614KC121,RELEASE,0,"CHENEY, WYATT",R,01/10/01,M4,,,,,,,,,,688904,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
NYG,D2022591BOB20,,4,"CHENG, TSUNG-CHE",L,07/26/01,M5,,,,-0.10,,,7,PIN 19,11.66,691907,KEEP,, $-   ,,7.00,4,-0.10,,,,,,,
FA,D2015262ALE09,,8,"CHESTER, CARL",,12/12/95,MR5,,,,,,,,,,656309,,,,,0.00,8,0.00,,,,,,,
FA,D2013289WT109,,3,"CHIGBOGU, JUSTIN",L,07/08/94,MR5,,,,,,,,,,622181,,,,,0.00,3,0.00,,,,,,,
FA,D2019516PSD18,,3,"CHILDERS, JUSTIN",,10/27/95,M3,,,,,,,,,,682167,,,,,0.00,3,0.00,,,,,,,
FA,D2016602NYG21,,2,"CHINEA, CHRIS",R,05/03/94,MR5,,,,,,,,,,546992,,,,,0.00,2,0.00,,,,,,,
MER,D2023676MER24,RELEASE,0,"CHIRINOS, JHOSEP",,04/17/04,M4,,,,,,,,,,800242,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2019062SL103,,6,"CHIRINOS, ROBERTO",,09/08/00,MR5,,,,,,,,,,677597,,,,,0.00,6,0.00,,,,,,,
FA,D2018105BOB04,,0,"CHIRINOS, YONNY",R,12/26/93,UFA,," $740,000 ",-0.20,,,,,,,630023,,,,,0.00,0,0.00,,,,,,,
BRM,D2017032HOG1S,40,4,"CHISHOLM, JAZZ",L,02/01/98,A4,," $10,208,038 ",4.00,4.40,,,485,,,665862,KEEP,40," $10,208,038 ",,509.00,4,4.40,,,,,,,
HIB,D2021201HIB07,40,1,"CHIVILLI, ANGEL",,07/28/02,O1,," $740,000 ",-0.30,-0.70,0,62,,CON HM,0.00,683409,KEEP,40," $740,000 ",,0.00,1,-0.70,,,,,,,
SL1,D2024248SL109,,6,"CHIVILLI, HENDRY",R,09/14/05,M3,,,,,,,,,,806998,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
TUT,D2023230TUT08,,8,"CHO, WON-BIN",,08/20/03,M4,,,,,,,,,,800231,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BBS,D2024629LVA22,,0,"CHOATE, JACK",L,04/18/01,M3,,,,,,,,SFN 22,7.46,805257,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRM,D2025756BRM34,,1,"CHOBAN, BRADY",R/R,09/16/00,M2,,,,,,,,,,813882,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
LVA,D2020125LVA05,40,0,"CHOI, HYUN-IL",,05/27/00,MR5,," $120,600 ",,,,,,,,683425,KEEP,40," $120,600 ",,0.00,0,0.00,,,,,,,
FA,D2011ALD06,,10,"CHOI, JI-MAN",L,05/19/91,UFA,," $740,000 ",,,,,,,,596847,,,,,0.00,10,0.00,,,,,,,
BGK,D2023199BGK07,,8,"CHOURIO, BYRON",,05/20/05,M4,,,,,,,,,,805102,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BRM,D2022073BRM03,40,8,"CHOURIO, JACKSON",R,03/11/04,O1,," $740,000 ",3.90,2.90,,,576,,,694192,KEEP,40," $740,000 ",,605.00,8,2.90,,,,,,,
MUN,D2023051SPI02,,8,"CHOURIO, JAISON",,05/19/05,M4,,,,,,,,CLA 03 [54],42.58,702693,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MUN,D2023519MUN18,,0,"CHREST, EVAN",R,01/05/04,M4,,,,,,,,,,805971,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BAM,D2025232BAM08,,8,"CHRISTIAN, JAKOB",R/R,09/17/02,M2,,,,,,,,SFN HM,0.00,814451,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
HAH,D2023697SHC26,,0,"CHRISTIANSON, JAKE",R,10/22/99,M4,,,,,,,,,,806279,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2015236BRM08,,2,"CHU, LI-JEN",,03/13/94,MR5,,,,,,,,,,644375,,,,,0.00,2,0.00,,,,,,,
FA,D2014141AKV05,,0,"CHURCH, ANDREW",R,10/07/94,MR5,,,,,,,,,,641455,,,,,0.00,0,0.00,,,,,,,
GLL,D2020634MUN23,40,1,"CHURCH, MARC",R,03/30/01,MR5,," $120,600 ",0.00,0.00,0,5,,TEA 20,10.21,687847,KEEP,WAIVE, $-   ,,0.00,1,0.00,,,,,,,
SL1,D2023544SL119,,8,"CHURCH, NATHAN",L,07/12/00,M4,,,,0.20,,,59,SLN 20,10.37,701675,KEEP,, $-   ,,62.00,8,0.20,,,,,,,
SAG,D2023326BRM11,,0,"CIJNTJE, JURRANGELO",B,05/31/03,M4,,,,,,,,SEA 08,26.29,701388,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRB,D2014491RCR17,,1,"CIMBER, ADAM",R,08/15/90,A5,," $800,000 ",0.00,,,,,,,643256,KEEP,," $800,000 ",,0.00,1,0.00,,,,,,,
ALC,D2025327ALC11,,3,"CIMILLO, NICK",R/R,02/23/00,M2,,,,,,,,PIN HM,0.00,701177,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FA,D2022502BOB17,,8,"CIPRIAN, ALBERTO",R,11/05/02,M4,,,,,,,,,,691607,,,,,0.00,8,0.00,,,,,,,
HAH,D2025702HAH27,,0,"CIPRIAN, JUNIOR",R/R,06/02/05,M2,,,,,,,,,,815795,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MER,D2025591MER20,,6,"CIRIACO, JEREMY",R/R,08/15/06,M2,,,,,,,,,,807994,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2010GLL10,,1,"CISNERO, JOSE",R,04/11/89,UFA,," $740,000 ",-0.20,,,,,,,542585,,,,,0.00,1,0.00,,,,,,,
RFS,D2025250RFS09,,6,"CISSELL, TYTUS",B/R,04/06/06,M2,,,,,,,,,,815632,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
KC1,D2025496KC117,,0,"CITELLI, CADE",R/R,08/10/01,M2,,,,,,,,,,699530,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2014023MUN01,,2,"CIUFFO, NICK",L,03/07/95,MR5,,,,,,,,,,624419,,,,,0.00,2,0.00,,,,,,,
OSC,D2017090BRB03,40,0,"CIVALE, AARON",R,06/12/95,A6,," $5,004,498 ",0.90,0.90,19,107,,,,650644,KEEP,40," $5,004,498 ",,0.00,0,0.90,,,,,,,
FA,D2016700WBR25,,0,"CLANCY, MATT",L,04/01/94,MR5,,,,,,,,,,664786,,,,,0.00,0,0.00,,,,,,,
FA,D2020558PBW19,,6,"CLARE, CHRIS",,11/24/94,M5,,,,,,,,,,670133,,,,,0.00,6,0.00,,,,,,,
FA,D2017229BGK08,,0,"CLARK, BAILEY",R,12/03/94,MR5,,,,,,,,,,641457,,,,,0.00,0,0.00,,,,,,,
FA,D2024369SHC13,,0,"CLARK, CHRIS",R,08/14/01,M2,,,,,,,,,,805363,,,,,0.00,0,0.00,,,,,,,
MOE,D2025501MOE17,,0,"CLARK, DEREK",L/L,12/25/01,M2,,,,,,,,,,823909,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2023627MUN22,,2,"CLARK, LOGUN",R,06/04/03,M3,,,,,,,,,,800621,,,,,0.00,2,0.00,,,,,,,
KEC,D2024006KEC01,,8,"CLARK, MAX",L,12/21/04,M3,,,,,,,,DEA 03 [20],47.34,703601,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2017538BRB18,,6,"CLARK, ZACH",R,12/05/95,MR5,,,,,,,,,,669733,,,,,0.00,6,0.00,,,,,,,
BGK,D2025189BGK07,,0,"CLARKE, BRANDON",L/L,04/10/03,M2,,,,,,,,BOA HM,0.00,700251,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
CHH,D2020097ALC04,RELEASE,0,"CLARKE, CHRIS",R,05/13/98,MR5,,,,,,,,,,669247,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
HAH,D2022139FM205,40,8,"CLARKE, DENZEL",R,05/01/00,O,," $740,000 ",,1.30,,,155,OAA 06,22.50,672016,KEEP,40," $740,000 ",,163.00,8,1.30,,,,,,,
WBR,D2020372WBR13,,2,"CLARKE, PHILIP",,03/24/98,MR5,,,,,,,,,,671287,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2016067ALC03,,1,"CLARKE, TAYLOR",R,05/13/93,UFA,," $740,000 ",,0.30,0,58,,,,664199,,,,,0.00,1,0.30,,,,,,,
FM2,D2022499FM217,,3,"CLARKE, WES",R,10/13/99,M5,,,,,,,,,,682265,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FA,D2014038RFS1S,,0,"CLARKIN, IAN",L,02/14/95,MR5,,,,,,,,,,624420,,,,,0.00,0,0.00,,,,,,,
PEC,D2019287BGK10,40,1,"CLASE, EMMANUEL",R,03/18/98,A6,," $12,301,694 ",2.20,1.10,0,50,,,,661403,KEEP,40," $12,301,694 ",,0.00,1,1.10,,,,,,,
SPI,D2020170SPI06,40,8,"CLASE, JONATAN",L,05/23/02,O1,," $740,000 ",0.10,-0.30,,,105,TOA 22,7.71,682729,KEEP,40," $740,000 ",,110.00,8,-0.30,,,,,,,
FA,D2013570JAS18,,1,"CLAUDIO, ALEXANDER",L,01/31/92,UFA,," $740,000 ",,,,,,,,592222,,,,,0.00,1,0.00,,,,,,,
FA,D2015168RCR06,,1,"CLAY, SAMUEL",,06/21/93,UFA,," $740,000 ",,,,,,,,621348,,,,,0.00,1,0.00,,,,,,,
HAH,D2016202SDP07,40,1,"CLEAVINGER, GARRETT",L,04/23/94,FA27,," $5,049,000 ",0.20,0.70,0,64,,,,664076,KEEP,40," $5,049,000 ",,0.00,1,0.70,,,,,,,
FA,D2019141FM205,,3,"CLEMENS, KACY",,07/27/94,MR5,,,,,,,,,,641459,,,,,0.00,3,0.00,,,,,,,
HOG,D2016325HOG11,40,3,"CLEMENS, KODY",L,05/15/96,A5,," $1,115,722 ",0.10,1.40,,,365,,,665019,KEEP,40," $1,115,722 ",,383.00,3,1.40,,,,,,,
SPI,D2018176NEE06,40,5,"CLEMENT, ERNIE ",R,03/22/96,A4,," $6,024,418 ",2.20,3.20,,,572,,,676391,KEEP,40," $6,024,418 ",,601.00,5,3.20,,,,,,,
FA,"D2015726BAB31
D2019184SPI07",,2,"CLEMENTINA, HENDRIK",,06/17/97,MR5,,,,,,,,,,649955,,,,,0.00,2,0.00,,,,,,,
BGK,D2024076BGK03,,0,"CLEMMEY, ALEX",L,07/18/05,M3,,,,,,,,WAN 06,26.07,806046,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MOE,D2024666MOE23,,0,"CLEVELAND, TYLER",R,09/09/99,M3,,,,,,,,,,804663,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2012192LEL06,,1,"CLEVINGER, MICHAEL",R,12/21/90,UFA,," $740,000 ",-0.10,-0.10,0,6,,,,605182,,,,,0.00,1,-0.10,,,,,,,
BGK,D2023099OSC04,,8,"CLIFFORD, RYAN",L,07/20/03,M4,,,,,,,,NYN 07,25.71,691775,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2014224BAM08,,0,"CLIFTON, TREVOR",R,05/11/95,MR5,,,,,,,,,,641461,,,,,0.00,0,0.00,,,,,,,
BRB,D2025517BRB18,,8,"CLOHISY, PATRICK",L/L,12/06/01,M2,,,,,,,,,,802117,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2017387GLL13,,1,"CLOUSE, CORBIN",L,06/26/95,MR5,,,,,,,,,,641462,,,,,0.00,1,0.00,,,,,,,
BAM,D2020173BAM06,,6,"CLUFF, JACKSON",L,12/03/96,MR5,,,,,,,,,,687714,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
MOE,D2007LEL05,40,0,"COBB, ALEX",R,10/07/87,FA27,2023," $15,166,667 ",0.30,,,,,,,502171,INJURED,40," $3,033,333 ",,0.00,0,0.00,,,,,,,
FA,D2017177GLL06,,6,"COCA, YEISON",R,05/22/99,MR5,,,,,,,,,,665883,,,,,0.00,6,0.00,,,,,,,
FA,D2013541ALE17,,0,"CODY, KYLE",R,08/09/94,UFA,," $740,000 ",,,,,,,,621129,,,,,0.00,0,0.00,,,,,,,
GLL,D2021107GLL04,,0,"COFFEY, ADISYN",R,01/22/99,MR5,,,,,,,,,,676249,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
WBR,D2023052WBR02,,6,"COFFEY, CUTTER",R,05/21/04,M4,,,,,,,,,,702690,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
RFS,D2024273RFS10,,0,"COFFEY, ISAAC",R,06/21/00,M3,,,,,,,,,,806190,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2019708LVA29,,8,"COGEN, MATT",,08/19/95,M3,,,,,,,,,,682134,,,,,0.00,8,0.00,,,,,,,
FA,D2019579BRB20,,0,"COHEN, CHASE",R,04/26/97,MR5,,,,,,,,,,681484,,,,,0.00,0,0.00,,,,,,,
OSC,D2024623OSC21,,0,"COHEN, LUIS",R,05/26/03,M3,,,,,,,,,,800324,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
KEC,D2023007KEC01,RELEASE,8,"COLAS, OSCAR",,09/17/98,O2,," $740,000 ",0.00,,,,,,,693049,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
HAH,D2023543SHC19,,8,"COLE JR., ZACH",L,08/04/00,M4,,,,0.50,,,49,HOA 14,13.84,805904,KEEP,, $-   ,,51.00,8,0.50,,,,,,,
FA,D2019252WBR09,,8,"COLE, ERIC",,01/17/97,MR5,,,,,,,,,,663655,,,,,0.00,8,0.00,,,,,,,
BBS,D2009CHC01,40,0,"COLE, GERRIT",R,09/08/90,FA27,2023," $25,500,000 ",1.80,,,,,,,543037,INJURED,40," $5,100,000 ",,0.00,0,0.00,,,,,,,
KEC,D2023217KEC08,,0,"COLEMAN, CARSON",,04/07/98,M4,,,,,,,,,,679693,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2019292BSD10,,1,"COLEMAN, DYLAN",R,09/16/96,UFA,," $740,000 ",0.00,,,,,,,669395,,,,,0.00,1,0.00,,,,,,,
LVA,D2024542LVA19,,0,"COLEMAN, JAVEN",L,12/03/01,M3,,,,,,,,,,694495,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2014609BAB21,,8,"COLEMAN, KENDALL",L,05/22/95,MR5,,,,,,,,,,643259,,,,,0.00,8,0.00,,,,,,,
BRB,D2024220BRB08,,8,"COLEY, MARK",R,11/22/00,M3,,,,,,,,,,696501,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2020227GLL08,,0,"COLINA, EDWAR",R,05/03/97,M5,,,,,,,,,,666674,,,,,0.00,0,0.00,,,,,,,
HOG,D2022617HOG21,RELEASE,8,"COLINA, OSCAR",R,10/04/03,M5,,,,,,,,,,698928,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
BRM,D2021249BRM10,,1,"COLINA, ROBERT",,04/24/01,MR5,,,,,,,,,,678783,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BGK,D2023746BGK30,,3,"COLLADO, MAICK",,12/24/02,M4,,,,,,,,,,691408,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
SPI,D2025364SPI13,,0,"COLLERAN, DENNIS",R/R,08/20/03,M2,,,,,,,,,,701207,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022741KC133,,0,"COLLETT, KEEGAN",R,09/20/03,M3,,,,,,,,,,676997,,,,,0.00,0,0.00,,,,,,,
SL1,D2023006SL101,,5,"COLLIER, CAM",L,11/20/04,M4,,,,,,,,CIN 03,28.40,702253,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
BBS,D2025260BBS09,,3,"COLLINS, COREY",L/R,10/10/01,M2,,,,,,,,,,690970,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FA,D2020230SPI08,,8,"COLLINS, DARRYL",L,09/16/01,MR5,,,,,,,,,,683408,,,,,0.00,8,0.00,,,,,,,
MOE,D2018340PBW12,RELEASE,5,"COLLINS, GAVIN ",R,07/17/95,MR5,,,,,,,,,,641468,RELEASE,, $-   ,,0.00,5,0.00,,,,,,,
FA,D2020785LVA41,,4,"COLLINS, ISAAC",,07/22/97,UFA,," $740,000 ",-0.20,2.60,,,391,MLN 30,1.11,686555,,,,,411.00,4,2.60,,,,,,,
FA,D2016574WT120,,2,"COLLINS, NICK",L,04/13/94,M5,,,,,,,,,,663312,,,,,0.00,2,0.00,,,,,,,
FA,D2016331RCR12,,8,"COLLINS, ROMAN",L,06/17/94,M5,,,,,,,,,,664046,,,,,0.00,8,0.00,,,,,,,
FA,D2023387BGS13,,1,"COLLINS, TY",,08/29/01,M2,,,,,,,,,,694575,,,,,0.00,1,0.00,,,,,,,
PEC,D2022190PEC07,,8,"COLLINS, TYLER",L,03/06/03,M5,,,,,,,,,,695514,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2014298MUN10,,2,"COLLINS, ZACK",L,02/06/95,UFA,," $740,000 ",,,,,,,,641470,,,,,0.00,2,0.00,,,,,,,
WBR,D2020312WBR11,,1,"COLLYER, GAVIN",R,05/12/01,MR5,,,,,,,,,,686560,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2023175KC106,,0,"COLMENARES, WILLIAN",R,02/03/05,M3,,,,,,,,,,800400,,,,,0.00,0,0.00,,,,,,,
FA,D2022067SRC03,,6,"COLMENAREZ, CARLOS",L,11/15/03,M4,,,,,,,,,,694181,,,,,0.00,6,0.00,,,,,,,
FA,D2009GLL06,,1,"COLOME, ALEXANDER",R,12/31/88,UFA,," $740,000 ",,,,,,,,517008,,,,,0.00,1,0.00,,,,,,,
SH1,D2025708BAB27,,0,"COLON, EDGAR",R/R,03/13/06,M2,,,,,,,,,,813958,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2023473NEE16,,0,"COLON, JEFFREY",,11/09/99,M3,,,,,,,,,,681738,,,,,0.00,0,0.00,,,,,,,
HIB,D2025524HIB18,,0,"COMBS, AARON",R/R,12/28/01,M2,,,,,,,,,,694551,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
OSC,D2024739OSC26,,5,"COMPTON, DREW",B,03/25/01,M3,,,,,,,,ATN 24,6.10,686541,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
FA,D2016798ALD33,,2,"CONCEPCION, ANTHONY",R,03/23/95,MR5,,,,,,,,,,660862,,,,,0.00,2,0.00,,,,,,,
BGK,D2024526BGK18,,8,"CONCEPCION, CARLOS",R,01/06/06,M3,,,,,,,,,,808393,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
WBR,D2025012WBR01,,8,"CONDON, CHARLIE",R/R,04/14/03,M2,,,,,,,,CON 02 [37],44.96,809707,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2017598INC21,,8,"CONE, GENE",L,09/21/94,M5,,,,,,,,,,669950,,,,,0.00,8,0.00,,,,,,,
